genes,label,Category_cl
AGBL2,1,Protein Coding
AGBL3,0,Protein Coding
AGBL4,1,Protein Coding
AGBL5,1,Protein Coding
AGBL5-AS1,0,lncRNA
AGER,1,Protein Coding
AGFG1,1,Protein Coding
AGFG2,1,Protein Coding
AGGF1,0,Protein Coding
AGGF1P1,0,Pseudogene
AGGF1P10,0,Pseudogene
AGK,1,Protein Coding
AGKP1,0,Pseudogene
AGL,1,Protein Coding
AGMAT,1,Protein Coding
AGMO,1,Protein Coding
AGO1,1,Protein Coding
AGO2,0,Protein Coding
AGO3,0,Protein Coding
AGO4,1,Protein Coding
AGPAT1,1,Protein Coding
AGPAT2,1,Protein Coding
AGPAT3,0,Protein Coding
AGPAT4,1,Protein Coding
AGPAT5,0,Protein Coding
AGPS,1,Protein Coding
AGR2,1,Protein Coding
AGR3,1,Protein Coding
AGRN,1,Protein Coding
AGRP,1,Protein Coding
AGT,1,Protein Coding
AGTPBP1,1,Protein Coding
AGTR1,1,Protein Coding
AGTR2,1,Protein Coding
AGTRAP,0,Protein Coding
AGXT,0,Protein Coding
AGXT2,0,Protein Coding
AHCTF1,1,TF
AHCTF1P1,0,Pseudogene
AHCY,1,Protein Coding
AHCYL1,0,Protein Coding
AHCYL2,1,Protein Coding
AHCYP2,0,Pseudogene
AHCYP5,0,Pseudogene
AHCYP7,0,Pseudogene
AHDC1,1,TF
AHI1,1,Protein Coding
AHNAK,1,Protein Coding
AHNAK2,1,Protein Coding
AHR,1,TF
AHRR,0,TF
AHSA1,0,Protein Coding
AHSA2P,0,Pseudogene
AHSG,1,Protein Coding
AHSP,0,Protein Coding
AICDA,0,Protein Coding
AIDA,1,Protein Coding
AIF1,1,Protein Coding
AIF1L,0,Protein Coding
AIFM1,0,Protein Coding
AIFM1P1,0,Pseudogene
AIFM2,1,Protein Coding
AIFM3,1,Protein Coding
AIG1,1,Protein Coding
AIM2,1,Protein Coding
AIMP1,0,Protein Coding
AIMP2,0,Protein Coding
AIP,0,TF
AIPL1,0,Protein Coding
AIRE,0,TF
AIRN,0,lncRNA
AJAP1,1,Protein Coding
AJM1,0,Protein Coding
AJUBA,1,Protein Coding
AK1,1,Protein Coding
AK2,0,Protein Coding
AK3,0,Protein Coding
AK3P3,0,Pseudogene
AK3P5,0,Pseudogene
AK4,1,Protein Coding
AK4P1,0,Pseudogene
AK4P4,0,Pseudogene
AK5,0,Protein Coding
AK6,1,Protein Coding
AK7,1,Protein Coding
AK8,1,Protein Coding
AK9,0,Protein Coding
AKAIN1,1,Protein Coding
AKAP1,1,Protein Coding
AKAP10,1,Protein Coding
AKAP11,0,Protein Coding
AKAP12,1,Protein Coding
AKAP13,0,Protein Coding
AKAP14,0,Protein Coding
AKAP17A,1,Protein Coding
AKAP17BP,0,Pseudogene
AKAP3,0,Protein Coding
AKAP4,1,Protein Coding
AKAP5,0,Protein Coding
AKAP6,1,Protein Coding
AKAP7,0,Protein Coding
AKAP8,0,TF
AKAP8L,0,TF
AKAP8P1,0,Pseudogene
AKAP9,1,TF
AKIP1,1,Protein Coding
AKIRIN1,1,Protein Coding
AKIRIN1P2,0,Pseudogene
AKIRIN2,1,Protein Coding
AKNA,1,TF
AKNAD1,0,Protein Coding
AKR1A1,1,Protein Coding
AKR1B1,1,Protein Coding
AKR1B10,1,Protein Coding
AKR1B15,1,Protein Coding
AKR1C1,1,Protein Coding
AKR1C2,1,Protein Coding
AKR1C3,1,Protein Coding
AKR1C4,1,Protein Coding
AKR1D1,0,Protein Coding
AKR1E2,1,Protein Coding
AKR7A2,1,Protein Coding
AKR7A2P1,0,Pseudogene
AKR7A3,1,Protein Coding
AKR7L,0,Protein Coding
AKT1,1,Protein Coding
AKT1S1,1,Protein Coding
AKT2,1,Protein Coding
AKT3,1,Protein Coding
AKT3-IT1,0,lncRNA
AKTIP,1,Protein Coding
ALAD,1,Protein Coding
ALAS1,1,Protein Coding
ALAS2,1,Protein Coding
ALB,1,Protein Coding
ALCAM,1,Protein Coding
ALDH16A1,0,Protein Coding
ALDH18A1,1,Protein Coding
ALDH1A1,1,Protein Coding
ALDH1A2,1,Protein Coding
ALDH1A3,1,Protein Coding
ALDH1B1,1,Protein Coding
ALDH1L1,1,Protein Coding
ALDH1L1-AS1,0,lncRNA
ALDH1L1-AS2,1,lncRNA
ALDH1L2,1,Protein Coding
ALDH2,1,Protein Coding
ALDH3A1,1,Protein Coding
ALDH3A2,1,Protein Coding
ALDH3B1,1,Protein Coding
ALDH3B2,1,Protein Coding
ALDH4A1,0,Protein Coding
ALDH5A1,1,Protein Coding
ALDH6A1,0,Protein Coding
ALDH7A1,1,Protein Coding
ALDH7A1P1,0,Pseudogene
ALDH8A1,0,Protein Coding
ALDH9A1,0,Protein Coding
ALDOA,0,Protein Coding
ALDOAP1,0,Pseudogene
ALDOAP2,0,Pseudogene
ALDOB,1,Protein Coding
ALDOC,1,Protein Coding
ALG1,0,Protein Coding
ALG10,1,Protein Coding
ALG10B,1,Protein Coding
ALG11,0,Protein Coding
ALG12,0,Protein Coding
ALG13,1,Protein Coding
ALG13-AS1,0,lncRNA
ALG14,1,Protein Coding
ALG1L,1,Protein Coding
ALG1L12P,0,Pseudogene
ALG1L2,0,Protein Coding
ALG1L9P,0,Pseudogene
ALG2,1,Protein Coding
ALG3,1,Protein Coding
ALG3P1,0,Pseudogene
ALG5,1,Protein Coding
ALG6,0,Protein Coding
ALG8,1,Protein Coding
ALG9,0,Protein Coding
ALG9-IT1,0,lncRNA
ALK,1,Protein Coding
ALKAL1,1,Protein Coding
ALKAL2,1,Protein Coding
ALKBH1,0,Protein Coding
ALKBH2,1,Protein Coding
ALKBH3,1,Protein Coding
ALKBH4,1,Protein Coding
ALKBH5,0,Protein Coding
ALKBH6,0,Protein Coding
ALKBH7,1,Protein Coding
ALKBH8,0,Protein Coding
ALLC,1,Protein Coding
ALMS1,1,Protein Coding
ALMS1-IT1,0,lncRNA
ALOX12,1,Protein Coding
ALOX12-AS1,0,lncRNA
ALOX12B,0,Protein Coding
ALOX12P1,0,Pseudogene
ALOX12P2,0,Pseudogene
ALOX15,1,Protein Coding
ALOX15B,1,Protein Coding
ALOX5,1,Protein Coding
ALOX5AP,1,Protein Coding
ALOXE3,0,Protein Coding
ALPG,0,Protein Coding
ALPI,1,Protein Coding
ALPK1,1,Protein Coding
ALPK2,1,Protein Coding
ALPK3,1,Protein Coding
ALPL,1,Protein Coding
ALPP,1,Protein Coding
ALS2,0,Protein Coding
ALS2CL,1,Protein Coding
ALX1,0,TF
ALX3,0,TF
ALX4,0,TF
ALYREF,1,TF
AMACR,1,Protein Coding
AMBN,0,Protein Coding
AMBP,1,Protein Coding
AMBRA1,1,Protein Coding
AMD1,1,Protein Coding
AMD1P2,0,Pseudogene
AMD1P3,0,Pseudogene
AMD1P4,0,Pseudogene
AMDHD1,1,Protein Coding
AMDHD2,1,Protein Coding
AMELX,0,Protein Coding
AMELY,0,Protein Coding
AMER1,1,Protein Coding
AMER2,1,Protein Coding
AMER3,1,Protein Coding
AMFR,1,Protein Coding
AMH,1,Protein Coding
AMHR2,1,Protein Coding
AMIGO1,1,Protein Coding
AMIGO2,1,Protein Coding
AMMECR1,1,Protein Coding
AMMECR1-IT1,0,lncRNA
AMMECR1L,0,Protein Coding
AMN,1,Protein Coding
AMN1,0,Protein Coding
AMOT,1,TF
AMOTL1,1,Protein Coding
AMOTL2,1,Protein Coding
AMPD1,1,Protein Coding
AMPD2,1,Protein Coding
AMPD3,1,Protein Coding
AMPH,1,Protein Coding
AMT,1,Protein Coding
AMTN,1,Protein Coding
AMY1A,0,Protein Coding
AMY1B,1,Protein Coding
AMY2A,1,Protein Coding
AMY2B,1,Protein Coding
AMZ1,1,Protein Coding
AMZ2,0,Protein Coding
AMZ2P1,0,Pseudogene
ANAPC1,0,Protein Coding
ANAPC10,1,Protein Coding
ANAPC11,0,Protein Coding
ANAPC13,1,Protein Coding
ANAPC15,1,Protein Coding
ANAPC16,1,Protein Coding
ANAPC2,1,TF
ANAPC4,0,Protein Coding
ANAPC5,0,Protein Coding
ANAPC7,1,Protein Coding
ANG,1,Protein Coding
ANGEL1,1,Protein Coding
ANGEL2,0,Protein Coding
ANGPT1,1,Protein Coding
ANGPT2,1,Protein Coding
ANGPT4,0,Protein Coding
ANGPTL1,1,Protein Coding
ANGPTL2,1,Protein Coding
ANGPTL3,1,Protein Coding
ANGPTL4,1,Protein Coding
ANGPTL5,0,Protein Coding
ANGPTL6,1,Protein Coding
ANGPTL7,1,Protein Coding
ANGPTL8,1,Protein Coding
ANHX,0,TF
ANK1,1,Protein Coding
ANK2,1,Protein Coding
ANK3,0,Protein Coding
ANKAR,1,Protein Coding
ANKDD1A,1,Protein Coding
ANKDD1B,0,Protein Coding
ANKEF1,1,Protein Coding
ANKFN1,0,Protein Coding
ANKFY1,1,Protein Coding
ANKH,0,Protein Coding
ANKHD1,1,Protein Coding
ANKHD1-EIF4EBP3,0,other
ANKIB1,0,Protein Coding
ANKK1,0,Protein Coding
ANKLE1,1,Protein Coding
ANKLE2,0,Protein Coding
ANKMY1,0,Protein Coding
ANKMY2,1,Protein Coding
ANKRA2,1,TF
ANKRD1,1,TF
ANKRD10,0,TF
ANKRD10-IT1,0,lncRNA
ANKRD11,0,Protein Coding
ANKRD12,0,Protein Coding
ANKRD13A,1,Protein Coding
ANKRD13B,1,Protein Coding
ANKRD13C,1,Protein Coding
ANKRD13D,1,Protein Coding
ANKRD16,1,Protein Coding
ANKRD17,0,Protein Coding
ANKRD18A,1,Protein Coding
ANKRD18B,0,Protein Coding
ANKRD18CP,0,Pseudogene
ANKRD18EP,0,Pseudogene
ANKRD19P,0,Pseudogene
ANKRD2,0,TF
ANKRD20A1,0,Protein Coding
ANKRD20A11P,0,Pseudogene
ANKRD20A18P,0,Pseudogene
ANKRD20A19P,0,Pseudogene
ANKRD20A3P,0,Pseudogene
ANKRD20A4P,0,Pseudogene
ANKRD20A5P,0,Pseudogene
ANKRD20A8P,1,Pseudogene
ANKRD20A9P,0,Pseudogene
ANKRD22,1,TF
ANKRD23,0,Protein Coding
ANKRD24,1,Protein Coding
ANKRD26,1,Protein Coding
ANKRD26P1,0,Pseudogene
ANKRD26P2,0,Pseudogene
ANKRD26P3,0,Pseudogene
ANKRD26P4,0,Pseudogene
ANKRD27,1,Protein Coding
ANKRD28,1,Protein Coding
ANKRD29,1,Protein Coding
ANKRD30A,0,TF
ANKRD30B,0,Protein Coding
ANKRD30BL,0,Protein Coding
ANKRD30BP1,0,Pseudogene
ANKRD30BP3,0,Pseudogene
ANKRD31,0,Protein Coding
ANKRD33,0,TF
ANKRD33B,1,Protein Coding
ANKRD33B-AS1,0,lncRNA
ANKRD34A,0,Protein Coding
ANKRD34B,1,Protein Coding
ANKRD34C,0,Protein Coding
ANKRD35,0,Protein Coding
ANKRD36,1,Protein Coding
ANKRD36B,1,Protein Coding
ANKRD36BP2,0,Pseudogene
ANKRD36C,1,Protein Coding
ANKRD37,1,Protein Coding
ANKRD39,1,Protein Coding
ANKRD40,1,Protein Coding
ANKRD40CL,0,Protein Coding
ANKRD42,1,TF
ANKRD44,1,Protein Coding
ANKRD44-IT1,0,lncRNA
ANKRD45,0,TF
ANKRD46,1,Protein Coding
ANKRD49,0,TF
ANKRD50,1,Protein Coding
ANKRD52,1,Protein Coding
ANKRD53,1,TF
ANKRD54,1,Protein Coding
ANKRD55,1,Protein Coding
ANKRD6,1,TF
ANKRD62,0,Protein Coding
ANKRD62P1,0,Pseudogene
ANKRD62P1-PARP4P3,0,other
ANKRD63,0,Protein Coding
ANKRD65,1,Protein Coding
ANKRD66,1,Protein Coding
ANKRD7,0,TF
ANKRD9,1,Protein Coding
ANKS1A,1,TF
ANKS1B,0,Protein Coding
ANKS3,0,TF
ANKS4B,1,Protein Coding
ANKS6,0,Protein Coding
ANKUB1,1,Protein Coding
ANKZF1,1,TF
ANLN,1,Protein Coding
ANO1,1,Protein Coding
ANO10,1,Protein Coding
ANO2,1,Protein Coding
ANO3,0,Protein Coding
ANO4,0,Protein Coding
ANO5,1,Protein Coding
ANO6,1,Protein Coding
ANO7,1,Protein Coding
ANO7L1,0,Pseudogene
ANO8,1,Protein Coding
ANO9,1,Protein Coding
ANOS1,1,Protein Coding
ANOS2P,0,Pseudogene
ANP32A,1,TF
ANP32AP1,0,Pseudogene
ANP32B,1,Protein Coding
ANP32BP1,0,Pseudogene
ANP32C,0,other
ANP32D,0,Protein Coding
ANP32E,0,Protein Coding
ANPEP,1,Protein Coding
ANTKMT,0,Protein Coding
ANTXR1,1,Protein Coding
ANTXR2,0,Protein Coding
ANTXRLP1,0,Pseudogene
ANXA1,1,Protein Coding
ANXA10,1,Protein Coding
ANXA11,1,Protein Coding
ANXA13,1,Protein Coding
ANXA2,1,Protein Coding
ANXA2P2,0,Pseudogene
ANXA2R,0,Protein Coding
ANXA3,1,Protein Coding
ANXA4,1,Protein Coding
ANXA5,1,Protein Coding
ANXA6,1,Protein Coding
ANXA7,0,Protein Coding
ANXA8,1,Protein Coding
ANXA8L1,1,Protein Coding
